No,구,동,전용면적,년,월,거래금액(,면적금액,층,건축년도,도로명,경도,위도,상태
1224,서초구,서초동,211.67,2019,12,150000,709,9,1996,서초구 서초대로 350,127.019836901118,37.4951972406353,정좌표
1225,서초구,서초동,84.9,2019,5,112000,1319,11,2002,서초구 서운로9길 63,127.027114698588,37.4849567700566,정좌표
1226,서초구,서초동,84.9,2019,5,119000,1402,12,2002,서초구 효령로74길 57,127.026458375019,37.4853360478821,정좌표
1227,서초구,서초동,100.39,2019,6,120500,1200,9,2006,서초구 서초대로 240,127.00834294083,37.4915760755906,정좌표
1228,서초구,서초동,83.11,2019,7,95000,1143,12,2005,서초구 강남대로39길 5,127.032624769892,37.4861830943992,정좌표
1229,서초구,서초동,59.79,2019,7,72500,1213,3,1995,서초구 효령로67길 52,127.023018356209,37.489674608841,정좌표
1230,서초구,서초동,110.68,2019,5,119000,1075,1,2006,서초구 사임당로17길 80,127.017652965893,37.4918803551584,정좌표
1231,서초구,서초동,133.14,2019,7,134000,1006,10,2005,서초구 남부순환로317길 34,127.01057502245,37.4810552037477,정좌표
1232,서초구,서초동,120.22,2019,7,140000,1165,3,2005,서초구 반포대로21길 67,127.007870422454,37.4857930574874,정좌표
1233,서초구,서초동,95.658,2019,3,163000,1704,11,2009,서초구 서운로 221,127.020498790443,37.5022587387423,정좌표
1234,서초구,서초동,83.6,2019,6,185500,2219,16,2016,서초구 서운로 107,127.02560423998,37.492625797672,정좌표
1235,서초구,서초동,84.8,2019,5,175000,2064,2,2018,서초구 서운로 104,127.026732091049,37.4929367835971,정좌표
1236,서초구,서초동,49.745,2019,1,50900,1023,12,2003,서초구 서초중앙로 26,127.016991572627,37.4846870528977,정좌표
1237,서초구,서초동,113.94,2019,11,135000,1185,1,2006,서초구 반포대로21길 74,127.007101375694,37.4855600047209,정좌표
1238,서초구,서초동,116.21,2019,9,94000,809,2,2005,서초구 효령로45길 15,127.008565269219,37.4844033481881,정좌표
1239,서초구,서초동,146.56,2019,12,108000,737,1,2005,서초구 효령로45길 11,127.008495274699,37.4841878121636,정좌표
1240,서초구,서초동,97.861,2019,12,83000,848,6,2005,서초구 반포대로3길 45,127.009859693819,37.4811548132903,정좌표
1241,서초구,서초동,103.24,2019,4,105500,1022,8,2010,서초구 서초중앙로 110,127.014522800647,37.4915903655571,정좌표
1242,서초구,서초동,194.51,2019,7,169500,871,9,2003,서초구 사임당로23길 12,127.021291229967,37.4908856308126,정좌표
1243,서초구,서초동,162.41,2019,1,136000,837,2,2003,서초구 서운로6길 15-20,127.030690917045,37.4864604386704,정좌표
1244,서초구,서초동,164.05,2019,7,149000,908,10,2003,서초구 서운로6길 15-13,127.030056447696,37.4862878298678,정좌표
1245,서초구,서초동,120.18,2019,3,168000,1398,3,2006,서초구 서운로 200,127.022523791108,37.501172872614,정좌표
1246,서초구,서초동,133.45,2019,3,179750,1347,19,2006,서초구 서운로 197,127.022374484217,37.4999689555617,정좌표
1247,서초구,서초동,79.63,2019,11,77000,967,6,2003,서초구 명달로6길 20,127.006699041618,37.4805185484821,정좌표
1248,서초구,서초동,59.97,2019,6,139000,2318,5,2017,서초구 서초대로38길 12,127.00571826891,37.4901139349269,정좌표
1249,서초구,서초동,46.28,2019,7,43900,949,12,2001,서초구 강남대로61길 17,127.02504200492,37.4986783291499,정좌표
