year,road_nm,pop_total,gu,emd
2020,연서로3길,6342979,은평구,역촌동
2020,연서로34길,5201304,은평구,불광동
2020,연서로33길,4533296,은평구,불광동
2020,연서로29길,6808655,은평구,갈현동
2020,연서로28길,7009836,은평구,대조동
2020,연서로27길,9211203,은평구,갈현동
2020,연서로21길,6476482,은평구,갈현동
2020,연서로17길,6010867,은평구,갈현동
2020,연서로16길,8240779,은평구,역촌동
2020,연서로13길,6557340,은평구,구산동
2020,연서로11길,6770505,은평구,구산동
2020,역말로9길,7180794,은평구,대조동
2020,수색로18길,1384335,은평구,수색동
2020,서오릉로8길,6613428,은평구,대조동
2020,서오릉로21길,4205210,은평구,구산동
2020,구,7726324,서대문,
2020,갈현로7길,6446051,은평구,역촌동
2020,갈현로41길,6025878,은평구,갈현동
2020,갈현로33길,6498629,은평구,갈현동
2020,갈현로1길,6468196,은평구,신사동
