상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,bus_cnt,HubName,HubDist,star,coffee,paul,mega,com,paik,high,low,total
12576496,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 21-7,서울특별시 서초구 강남대로,127.019521,37.51485002,2020,4,신사역,534.7680189,45,34,9,5,1,9,88,15,103
25637642,스타벅스,11710,송파구,1171010700,가락동,서울특별시 송파구 가락동 125-6,서울특별시 송파구 동남로,127.126233,37.49189964,2020,2,문정역,619.3329099,33,17,1,8,6,10,51,24,75
11516500,스타벅스,11290,성북구,1129012500,안암동5가,서울특별시 성북구 안암동5가 126-1,서울특별시 성북구 인촌로,127.0263415,37.58709834,2020,4,안암역,292.3323847,15,3,0,10,0,7,18,17,35
12563750,스타벅스,11710,송파구,1171010200,신천동,서울특별시 송파구 신천동 7-30,서울특별시 송파구 송파대로,127.098885,37.51577952,2020,4,잠실역,339.4354367,33,17,1,8,6,10,51,24,75
12042236,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 941-19,서울특별시 강남구 도곡로,127.0601595,37.49899741,2020,2,대치역,567.1495898,87,79,15,7,5,11,181,23,204
12076165,스타벅스,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 226-10,서울특별시 송파구 오금로,127.1205089,37.50654446,2020,2,방이역,467.4251687,33,17,1,8,6,10,51,24,75
25694521,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 19-3,서울특별시 서초구 신반포로,127.0023932,37.50393001,2020,3,고속터미널역,243.5394872,45,34,9,5,1,9,88,15,103
16764830,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 993-1,서울특별시 강남구 영동대로,127.0670514,37.50045769,2020,3,학여울역,590.8190563,87,79,15,7,5,11,181,23,204
11869893,스타벅스,11650,서초구,1165011100,신원동,서울특별시 서초구 신원동 205-1,서울특별시 서초구 청계산로,127.0562524,37.4472724,2020,1,청계산입구역,197.6080291,45,34,9,5,1,9,88,15,103
12666554,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 813-17,서울특별시 강남구 봉은사로2길,127.0266434,37.50209594,2020,12,신논현역,695.7146292,87,79,15,7,5,11,181,23,204
11935008,스타벅스,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로,127.1193706,37.47826065,2020,2,장지역,646.0001967,33,17,1,8,6,10,51,24,75
11970460,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 609,서울특별시 강남구 압구정로30길,127.0295417,37.52632207,2020,2,압구정역,326.8022247,87,79,15,7,5,11,181,23,204
11931405,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255,37.5115851,2020,2,학동역,304.1307396,87,79,15,7,5,11,181,23,204
11931313,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 960-5,서울특별시 강남구 삼성로,127.0588155,37.50335683,2020,2,한티역,787.7522044,87,79,15,7,5,11,181,23,204
11836610,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 58-24,서울특별시 서초구 신반포로,127.0119225,37.50861449,2020,2,반포역,35.85507252,45,34,9,5,1,9,88,15,103
8730737,스타벅스,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로,127.1193706,37.47826065,2020,2,장지역,646.0001967,33,17,1,8,6,10,51,24,75
12665937,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 825,서울특별시 강남구 강남대로,127.0285648,37.49783175,2020,4,강남역,636.4013209,87,79,15,7,5,11,181,23,204
26268835,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 831-25,서울특별시 강남구 강남대로78길,127.0305366,37.49489249,2020,3,강남역,281.4682179,87,79,15,7,5,11,181,23,204
8735684,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 677-25,서울특별시 강남구 테헤란로,127.0406526,37.50239076,2020,0,역삼역,169.6885872,87,79,15,7,5,11,181,23,204
20082320,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1439-14,서울특별시 서초구 남부순환로339길,127.0215728,37.48591615,2020,3,남부터미널역,555.1464061,45,34,9,5,1,9,88,15,103
8736083,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 235-11,서울특별시 강남구 봉은사로,127.0353547,37.50804228,2020,2,언주역,243.0386113,87,79,15,7,5,11,181,23,204
16109325,스타벅스,11710,송파구,1171011200,오금동,서울특별시 송파구 오금동 20-17,서울특별시 송파구 마천로7길,127.1281717,37.50898908,2020,2,방이역,262.6847972,33,17,1,8,6,10,51,24,75
20325090,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 53,서울특별시 강남구 학동로,127.0514396,37.51868785,2020,4,강남구청역,374.9339911,87,79,15,7,5,11,181,23,204
20488763,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 84-3,서울특별시 강남구 선릉로,127.0405131,37.52653786,2020,0,압구정로데오역,329.2740261,87,79,15,7,5,11,181,23,204
11978034,스타벅스,11290,성북구,1129011700,동선동2가,서울특별시 성북구 동선동2가 134,서울특별시 성북구 보문로34길,127.0188421,37.59082962,2020,1,성신여대입구역,311.0055052,15,3,0,10,0,7,18,17,35
25285303,스타벅스,11290,성북구,1129013500,종암동,서울특별시 성북구 종암동 3-1297,서울특별시 성북구 종암로28길,127.0342762,37.60130987,2020,3,월곡역,633.7626581,15,3,0,10,0,7,18,17,35
16113431,스타벅스,11710,송파구,1171010700,가락동,서울특별시 송파구 가락동 174-14,서울특별시 송파구 오금로,127.1362616,37.4969833,2020,3,개롱역,279.4516481,33,17,1,8,6,10,51,24,75
12064739,스타벅스,11305,강북구,1130510100,미아동,서울특별시 강북구 미아동 812-2,서울특별시 강북구 삼양로,127.0211081,37.61838418,2020,5,삼양사거리역,334.0011211,5,2,0,9,0,2,7,11,18
12510878,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 44-12,서울특별시 강남구 학동로,127.045958,37.5183013,2020,1,강남구청역,113.8406876,87,79,15,7,5,11,181,23,204
12611340,스타벅스,11710,송파구,1171010900,장지동,서울특별시 송파구 장지동 884,서울특별시 송파구 위례광장로,127.1437439,37.47854792,2020,3,거여역,1749.685832,33,17,1,8,6,10,51,24,75
9780390,스타벅스,11350,노원구,1135010200,월계동,서울특별시 노원구 월계동 333-1,서울특별시 노원구 마들로3길,127.0619664,37.62650103,2020,0,광운대역,343.6029602,11,3,0,12,2,6,14,20,34
12584840,스타벅스,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 618,서울특별시 송파구 송파대로,127.1248723,37.47961708,2020,4,장지역,273.2397237,33,17,1,8,6,10,51,24,75
23311558,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 6-5,서울특별시 강남구 도산대로,127.0468501,37.52375987,2020,2,강남구청역,616.7560619,87,79,15,7,5,11,181,23,204
23248292,스타벅스,11710,송파구,1171011200,오금동,서울특별시 송파구 오금동 17-8,서울특별시 송파구 마천로,127.1266385,37.50854524,2020,3,방이역,119.2263588,33,17,1,8,6,10,51,24,75
16009661,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1329-7,서울특별시 서초구 강남대로,127.0292201,37.49351207,2020,9,강남역,184.1142638,45,34,9,5,1,9,88,15,103
20691915,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 583-3,서울특별시 강남구 논현로,127.0278969,37.52404691,2020,2,압구정역,67.52155214,87,79,15,7,5,11,181,23,204
12520814,스타벅스,11710,송파구,1171010200,신천동,서울특별시 송파구 신천동 7-30,서울특별시 송파구 올림픽로35길,127.098885,37.51577952,2020,4,잠실역,339.4354367,33,17,1,8,6,10,51,24,75
16059494,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1365-23,서울특별시 서초구 남부순환로,127.03005,37.48442722,2020,4,양재역,297.9475544,45,34,9,5,1,9,88,15,103
12129375,스타벅스,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 22-5,서울특별시 송파구 오금로,127.1074057,37.51460076,2020,1,몽촌토성역,398.6035408,33,17,1,8,6,10,51,24,75
20540030,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 235-11,서울특별시 강남구 봉은사로,127.0353547,37.50804228,2020,2,언주역,243.0386113,87,79,15,7,5,11,181,23,204
19984883,스타벅스,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 40,서울특별시 송파구 올림픽로,127.0944673,37.51066377,2020,0,잠실새내역,473.2514172,33,17,1,8,6,10,51,24,75
20012839,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1451-95,서울특별시 서초구 남부순환로323길,127.0134831,37.48112734,2020,4,남부터미널역,634.9648466,45,34,9,5,1,9,88,15,103
23186849,스타벅스,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 181,서울특별시 송파구 올림픽로,127.0812008,37.51145336,2020,0,종합운동장역,611.0016532,33,17,1,8,6,10,51,24,75
23310463,스타벅스,11290,성북구,1129010500,동소문동2가,서울특별시 성북구 동소문동2가 11,서울특별시 성북구 동소문로,127.0073203,37.58872396,2020,5,한성대입구역,42.58356246,15,3,0,10,0,7,18,17,35
19993461,스타벅스,11290,성북구,1129012500,안암동5가,서울특별시 성북구 안암동5가 1-2,서울특별시 성북구 안암로,127.0317018,37.58848499,2020,0,안암역,333.3843209,15,3,0,10,0,7,18,17,35
20023633,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 144-25,서울특별시 강남구 테헤란로,127.0555809,37.50694425,2020,4,선릉역,766.3550335,87,79,15,7,5,11,181,23,204
12478338,스타벅스,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 226-10,서울특별시 송파구 오금로,127.1205658,37.50650884,2020,2,방이역,464.1415312,33,17,1,8,6,10,51,24,75
20600882,스타벅스,11710,송파구,1171010200,신천동,서울특별시 송파구 신천동 7-17,서울특별시 송파구 송파대로,127.120936,37.48906,2020,0,,,33,17,1,8,6,10,51,24,75
23288567,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 851-1,서울특별시 서초구 방배로,126.9924576,37.49001452,2020,5,내방역,219.7676714,45,34,9,5,1,9,88,15,103
23498613,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 651,서울특별시 강남구 남부순환로,127.0573953,37.4921724,2020,3,도곡역,271.5395004,87,79,15,7,5,11,181,23,204
