,year,id,gu,pop,index,,평균,최소,최대,,id_popul,id_구,구,평균_유동인구_수,연도
251,2020,12,동작구,4441714,251,,,,,,,,,,
252,2020,12,동작구,4278062,252,,,,,,,,,,
253,2020,12,동작구,5842651,253,,,,,,,,,,
254,2020,12,동작구,5636800,254,,,,,,,,,,
255,2020,12,동작구,3806771,255,,,,,,,,,,
256,2020,12,동작구,2784335,256,,,,,,,,,,
257,2020,12,동작구,4769628,257,,,,,,,,,,
258,2020,12,동작구,5088744,258,,,,,,,,,,
259,2020,12,동작구,2616586,259,,,,,,,,,,
260,2020,12,동작구,3041006,260,,,,,,,,,,
261,2020,12,동작구,5392393,261,,,,,,,,,,
262,2020,12,동작구,6850455,262,,,,,,,,,,
263,2020,12,동작구,5407991,263,,,,,,,,,,
264,2020,12,동작구,5741923,264,,,,,,,,,,
265,2020,12,동작구,3813778,265,,,,,,,,,,
266,2020,12,동작구,3049866,266,,,,,,,,,,
267,2020,12,동작구,7327314,267,,,,,,,,,,
268,2020,12,동작구,4798436,268,,,,,,,,,,
269,2020,12,동작구,6119143,269,,,,,,,,,,
270,2020,12,동작구,4371625,270,,,,,,,,,,
271,2020,12,동작구,4613528,271,,,,,,,,,,
272,2020,12,동작구,3228251,272,,,,,,,,,,
273,2020,12,동작구,2892109,273,,,,,,,,,,
274,2020,12,동작구,4551758,274,,,,,,,,,,
275,2020,12,동작구,6445641,275,,,,,,,,,,
276,2020,12,동작구,4547394,276,,,,,,,,,,
277,2020,12,동작구,5862269,277,,,,,,,,,,
278,2020,20,영등포구,5258067,278,,,,,,,,,,
279,2020,20,영등포구,5133579,279,,,,,,,,,,
280,2020,20,영등포구,4973179,280,,,,,,,,,,
281,2020,20,영등포구,3642229,281,,,,,,,,,,
282,2020,20,영등포구,3472260,282,,,,,,,,,,
283,2020,20,영등포구,4098929,283,,,,,,,,,,
284,2020,20,영등포구,3374882,284,,,,,,,,,,
285,2020,20,영등포구,2451405,285,,,,,,,,,,
