field_1,상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,bus_cnt
155,12657109,스타벅스이수역사거리점,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 3001-2,서울특별시 서초구 서초대로,126.9830474,37.48598728,2018,8
156,12637945,스타벅스공릉역점,11350,노원구,1135010300,공릉동,서울특별시 노원구 공릉동 379-27,서울특별시 노원구 동일로,127.0722546,37.62636612,2018,4
157,12666554,스타벅스강남오거리점,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 813-17,서울특별시 강남구 봉은사로2길,127.0266434,37.50209594,2018,7
158,12521573,스타벅스커피강남대로신사,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 21-7,서울특별시 서초구 강남대로,127.019521,37.51485002,2018,11
159,12520814,스타벅스잠실대교남단점,11710,송파구,1171010200,신천동,서울특별시 송파구 신천동 7-30,서울특별시 송파구 올림픽로35길,127.098885,37.51577952,2018,12
160,12521939,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 19-4,서울특별시 서초구 신반포로,127.0068163,37.50642716,2018,5
161,12665937,스타벅스강남점,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 825,서울특별시 강남구 강남대로,127.0285648,37.49783175,2018,14
162,14057308,스타벅스노원마들역점,11350,노원구,1135010500,상계동,서울특별시 노원구 상계동 694,서울특별시 노원구 노원로,127.0570787,37.66096272,2018,4
163,16206207,스타벅스,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 642,서울특별시 송파구 송파대로,127.1205807,37.48788401,2018,5
164,16209256,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 621-1,서울특별시 강남구 언주로,127.0330918,37.5273874,2018,5
165,16242201,스타벅스,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 55-6,서울특별시 송파구 송파대로,127.1230757,37.48628966,2018,3
166,16059494,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1365-23,서울특별시 서초구 남부순환로,127.03005,37.48442722,2018,5
167,16129812,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 907-1,서울특별시 서초구 방배로,126.9960731,37.48433262,2018,5
