표준ID,ARS-ID,정류소명,X좌표,Y좌표,NUMPOINTS
"109900077","10561",오봉초등학교,127.039766036,37.6710285632,"0"
"109900123","10563",방학3동주민센터,127.0274208052,37.6584206209,"0"
"109900076","10564",청구아파트,127.0265530593,37.6576053659,"0"
"109900075","10565",엘지전자,127.0313864336,37.6509160568,"0"
"109900074","10568",시온슈퍼,127.0408487156,37.672856693,"0"
"109900137","10569",창성빌라,127.0403711076,37.6441969127,"0"
"109900073","10570",김수영문학관,127.0251576563,37.6593902394,"0"
"109900072","10572",서울북부지방법원,127.0491270236,37.6776997494,"0"
"109900071","10573",부부슈퍼,127.0425011526,37.6744784735,"0"
"109900126","10575",벽산아파트,127.0249764368,37.6583355697,"0"
"109900069","10578",삼거리슈퍼,127.0435860333,37.6756720597,"0"
"109900068","10580",방학3동주민센터,127.0274531745,37.6583414038,"0"
"109900067","10582",믿음주유소,127.0266756919,37.6494191129,"0"
"109900066","10583",쌍문초등학교,127.0249208108,37.6477600719,"0"
"109900134","10584",창동고등학교,127.037976519,37.6513670407,"0"
"109900065","10585",도봉역,127.0456272523,37.6810050393,"0"
"109900149","10586",성황당,127.0437007141,37.6771902671,"2"
"109900064","10587",창2동주민센터·보건지소,127.03543006,37.6421242205,"0"
"109900117","10588",금호타운,127.0293884934,37.6576723024,"0"
"109900062","10590",사거리슈퍼앞,127.0259307749,37.6498220359,"0"
"109900061","10592",대우.삼성서비스센터,127.0465740527,37.6832387338,"0"
"109900150","10593",도봉1동주민센터.럭키아파트,127.0436203136,37.6786165247,"2"
"109900060","10594",창2동건영아파트,127.0337710933,37.6407748635,"0"
"109900058","10597",용호약국,127.0251562718,37.6500888112,"0"
"109900057","10598",오복슈퍼,127.023261395,37.6496146745,"0"
"109900056","10599",도봉경찰서.창4동주민센터,127.0516358823,37.6524257227,"0"
"109900055","10600",유원극동아파트,127.0488737865,37.6827132918,"0"
"109900151","10604",도봉1파출소,127.0433891962,37.679641984,"0"
"109900054","10612",쌍문동한양아파트,127.0325680015,37.6578728499,"0"
"109000394","10617",거성학마을아파트,127.0379540475,37.6661949095,"0"
"109900053","10637",쌍문1동현대아파트,127.0227364221,37.6505232507,"0"
"109900052","10638",한신아파트후문,127.0494915834,37.6838437402,"0"
"109000293","10657",창북중학교,127.0381562407,37.6515153281,"0"
