상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_합격(상권코드),2019_총_유동인구_수_합격(상권코드),2018_총_유동인구_수_합격(상권코드)
1000554,강서로15길,4,강서구,14333663,56226712,51906401,13454309
1000553,가로공원로80길,4,강서구,5956405,24303745,23604488,3865888
1000552,가로공원로76가길,4,강서구,6928381,28756198,27633007,5794806
1000551,화곡로4길,19,양천구,2144889,8897039,9203872,1951872
1000550,화곡로3길,19,양천구,1456143,6091526,6255743,1049191
1000549,지양로7길,19,양천구,1874821,8196407,8398586,1381131
1000548,중앙로55길,19,양천구,5126556,20374063,21199157,4672038
1000547,중앙로51길,19,양천구,5554445,22480149,22246450,3515438
1000546,중앙로47길,19,양천구,4492555,18319110,17406658,3904705
1000545,중앙로45길,19,양천구,5136710,20589195,19445347,3934456
1000544,중앙로36길,19,양천구,2855807,11722751,11665600,4682431
1000543,중앙로32길,19,양천구,2801554,11436807,11565227,3872765
1000542,중앙로25길,19,양천구,3253512,13354617,12648029,2845663
1000541,은행정로7길,19,양천구,5147494,21487647,22068069,6402450
1000540,은행정로5길,19,양천구,3239207,13307603,13765485,4862970
1000539,오목로5길,19,양천구,5256972,21693686,22841509,4196959
1000538,오목로3길,19,양천구,4877157,20207186,19927402,3531144
1000537,오목로30길,19,양천구,6136203,26146145,25670670,5525976
1000536,오목로23길,19,양천구,6037865,24398334,23920674,6311213
1000535,신월로20길,19,양천구,4264075,16798881,15555619,3385435
1000534,신월로15길,19,양천구,5287406,21205206,21017120,4931693
1000533,신목로6길,19,양천구,5129831,20880870,19424659,6368658
1000532,신목로5길,19,양천구,3202784,12850677,11801660,3468761
1000531,신목로2길,19,양천구,3995147,16128210,15108590,4481616
1000530,목동중앙서로8가길,19,양천구,3339989,13549128,13186731,3860345
1000529,목동중앙서로7길,19,양천구,6061973,24575146,21775675,4966277
1000528,목동중앙북로8길,19,양천구,4664450,18363311,17893563,5395471
1000527,목동중앙북로16길,19,양천구,3825423,16212580,15743131,3419779
1000526,목동중앙본로7길,19,양천구,7332927,29534291,29042684,5815987
1000525,목동중앙로3길,19,양천구,5592911,22538614,21072393,4140148
1000524,목동중앙로13나길,19,양천구,660691,2756112,2883283,710772
1000523,목동중앙남로3가길,19,양천구,6096747,24861741,23911707,4398802
1000522,목동로9길,19,양천구,4380848,18297732,19790217,7727185
1000521,목동로19길,19,양천구,4962854,20645516,21617379,7842236
1000520,목동동로8길,19,양천구,1975137,7780766,7226339,2052716
1000519,목동동로12길,19,양천구,4628551,19134812,19265936,7924399
1000518,목동남로4길,19,양천구,1913451,7858284,7402526,1913191
1000517,남부순환로88길,19,양천구,1576771,6319575,6168447,1338920
1000516,남부순환로79길,19,양천구,2982769,12052545,11856285,3366958
1000515,남부순환로70길,19,양천구,3126961,13081757,13091974,2480109
1000514,남부순환로58길,19,양천구,2874221,11606831,11843953,2311489
1000513,남부순환로40길,19,양천구,2917387,12041306,12160084,1872126
1000512,남부순환로33길,19,양천구,3504532,15355555,14567434,3139193
1000511,곰달래로5길,19,양천구,4359702,17887700,17794312,3889372
1000510,곰달래로3길,19,양천구,4399854,17858667,17630067,3800611
1000509,곰달래로2길,19,양천구,3185480,12820838,12569999,2439556
1000508,곰달래로10길,19,양천구,5776597,23128396,22175373,4803148
1000507,가로공원로58길,19,양천구,2222117,9076130,9183097,1065479
1000506,효창원로93길,21,용산구,6283263,26155338,25479859,7935315
1000505,토정로37길,13,마포구,5968546,24338360,21844946,10096026
1000504,월드컵로8길,13,마포구,4830583,20262647,21574412,10801819
