,cafe_nm,gu_cd,gu_x,dong_cd,dong,gibun,road_x,lng,lat,year,bus_cnt,HubName,HubDist,cafe_cd,pop,pop_avg,gu_num,gu,apt_name,size,trade_year,month,day,trade,floor,byear,sizetrade,average_sizetrade
74,스타벅스신천역점,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 181,서울특별시 송파구 올림픽로,127.0812008,37.51145336,2018,0,종합운동장역,611.0016532,1,2768448,2816561,1,송파구,갤러리아팰리스,176,201801,1,4,161000,7,2005,914.7727273,1920.396177
75,스타벅스가든파이브,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로,127.1193706,37.47826065,2018,2,장지역,646.0001967,1,1525212,1597754,1,송파구,건영1,84,201801,1,2,75800,13,1996,902.3809524,1052.300928
76,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 677-25,서울특별시 강남구 테헤란로,127.0406526,37.50239076,2018,0,역삼역,169.6885872,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
77,스타벅스차병원사거리점,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 235-11,서울특별시 강남구 봉은사로,127.0353547,37.50804228,2018,2,언주역,243.0386113,1,1386987,2002405,1,강남구,e-편한세상,129,201803,3,30,88700,1,2005,687.5968992,1199.528213
78,스타벅스,11290,성북구,1129013500,종암동,서울특별시 성북구 종암동 3-1297,서울특별시 성북구 종암로28길,127.0342762,37.60130987,2018,3,월곡역,633.7626581,1,907342,1037639,0,성북구,고려,66,201803,3,26,14800,5,1983,224.2424242,649.1062637
79,스타벅스뱅뱅사거리점,11680,강남구,1168011800,도곡동,서울특별시 강남구 도곡동 946-14,서울특별시 강남구 강남대로,127.032473,37.48855591,2018,5,양재역,426.2629013,1,1164530,1288201,1,강남구,SK허브프리모,63,201802,2,19,61700,19,2006,979.3650794,1478.389307
80,스타벅스경복아파트점,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 681,서울특별시 강남구 봉은사로,127.0403528,37.50902009,2018,2,선정릉역,412.7731989,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
81,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 809-10,서울특별시 강남구 강남대로,127.0255555,37.5031322,2018,9,신논현역,693.8400586,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
82,스타벅스,11710,송파구,1171010700,가락동,서울특별시 송파구 가락동 97-7,서울특별시 송파구 송파대로30길,127.1187684,37.49488077,2018,0,가락시장역,223.5201706,1,1260494,1462973,1,송파구,sk파크타워,84,201801,1,14,63000,13,2003,750,975.1223802
83,스타벅스,11290,성북구,1129013400,길음동,서울특별시 성북구 길음동 20-1,서울특별시 성북구 동소문로,127.0287256,37.60839154,2018,4,길음역,670.5119973,1,1393221,1261112,0,성북구,길음뉴타운1단지(래미안길음1차),114,201801,1,3,59500,19,2003,521.9298246,740.3221328
84,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 678-39,서울특별시 강남구 테헤란로,127.0392228,37.50187455,2018,2,역삼역,165.4684481,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
85,스타벅스석촌서호점,11710,송파구,1171010600,삼전동,서울특별시 송파구 삼전동 130-2,서울특별시 송파구 석촌호수로,127.0966117,37.50636412,2018,0,석촌고분역,352.3536538,1,773701,1474302,1,송파구,동신,64,201801,1,19,35500,1,2003,554.6875,935.8953677
86,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1445-4,서울특별시 서초구 서초중앙로,127.0169304,37.4846702,2018,9,남부터미널역,259.6595758,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
87,스타벅스월계이마트점,11350,노원구,1135010200,월계동,서울특별시 노원구 월계동 333-1,서울특별시 노원구 마들로3길,127.0619664,37.62650103,2018,0,광운대역,343.6029602,1,1307504,1069711,0,노원구,건양노블레스빌,84,201802,2,3,41200,22,2003,490.4761905,602.4324346
89,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 747-21,서울특별시 강남구 논현로,127.0388807,37.49591579,2018,3,동오역,478.4249724,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
90,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1317-23,서울특별시 서초구 서초대로,127.0259036,37.49809817,2018,5,강남역,766.0452352,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
91,스타벅스,11350,노원구,1135010300,공릉동,서울특별시 노원구 공릉동 126,서울특별시 노원구 화랑로,127.088969,37.62877599,2018,0,화랑대역,1104.210813,1,3752718,3356691,0,노원구,6.7디벨리움,17,201803,3,19,17200,9,2016,1011.764706,559.0819312
92,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 58-24,서울특별시 서초구 나루터로4길,127.013448,37.50958236,2018,0,반포역,201.6544684,1,2131041,2126310,1,서초구,강변,84,201801,1,6,137500,5,1987,1636.904762,1896.8602
93,스타벅스,11680,강남구,1168011800,도곡동,서울특별시 강남구 도곡동 467-17,서울특별시 강남구 언주로30길,127.0541634,37.48929922,2018,2,도곡역,171.163384,1,1164530,1288201,1,강남구,SK허브프리모,63,201802,2,19,61700,19,2006,979.3650794,1478.389307
94,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 826-26,서울특별시 강남구 테헤란로2길,127.0296792,37.49648032,2018,3,강남역,466.3858573,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
95,스타벅스역삼역점,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 646-15,서울특별시 강남구 테헤란로,127.0351776,37.50070625,2018,1,동오역,158.1703565,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
96,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 5-1,서울특별시 강남구 도산대로,127.0233685,37.51734176,2018,0,신사역,479.2690266,1,1386987,2002405,1,강남구,e-편한세상,129,201803,3,30,88700,1,2005,687.5968992,1199.528213
97,스타벅스대치점,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 988-17,서울특별시 강남구 도곡로,127.0622213,37.49962651,2018,1,대치역,573.7853677,1,1778436,2275593,1,강남구,개포우성1,127,201801,1,1,265000,11,1983,2086.614173,1929.110361
98,스타벅스석촌호수점,11710,송파구,1171010400,송파동,서울특별시 송파구 송파동 7-4,서울특별시 송파구 석촌호수로,127.1052164,37.50943014,2018,0,잠실역,585.3557016,1,1690107,1728181,1,송파구,2차한양아파트,126,201801,1,3,112000,4,1984,888.8888889,1042.206309
99,스타벅스광운대점,11350,노원구,1135010200,월계동,서울특별시 노원구 월계동 410-1,서울특별시 노원구 석계로,127.0607054,37.62317518,2018,6,광운대역,140.7357031,1,1307504,1069711,0,노원구,건양노블레스빌,84,201802,2,3,41200,22,2003,490.4761905,602.4324346
100,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1699-3,서울특별시 서초구 서초중앙로,127.013362,37.49635417,2018,2,교대역,390.7206732,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
101,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 144-25,서울특별시 강남구 테헤란로,127.0555809,37.50694425,2018,4,선릉역,766.3550335,1,2836411,1542360,1,강남구,LG선릉에클라트(A),36,201802,2,10,36000,4,2003,1000,1773.421078
102,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 19-3,서울특별시 서초구 신반포로,127.0023932,37.50393001,2018,3,고속터미널역,243.5394872,1,2446508,1576875,1,서초구,APELBAUM,180,201808,8,10,148500,2,2005,825,2178.668139
